company,ticker,exchange,date,analyst_name,question,suggested_label,label
"MIND Technology, Inc.",MIND,NASDAQ,2024-12-11,Ross Taylor,"Thank you. First, it's always exhausting to follow Tyson because you're having to spend so much time crossing off your questions. First, congratulations on everything you guys have accomplished this year, especially the operational performance, which is really impressive. I have not seen a Q yet. So, is it possible that you give us what the GAAP earnings would be this year, year-to-date? Obviously, your early GAAP earnings were impacted by a number of other factors. These are impacted by some factors, but I'm trying to get a run rate earnings per share number for where you're sitting at this year?",Confident,
"Coinbase Global, Inc.",COIN,NASDAQ,2024-12-11,Michael Infante,"Very helpful. Rounding out the discussion, it feels pretty safe to assume that some of the more punitive regulatory outcomes across the industry have largely been derisked and optimism across the industry is clearly accelerating. As you look ahead to 2025, where do you envision the most potential upside to come in your business or what opportunity do you think may not be fully appreciated in the current landscape?",Confident,
"Stitch Fix, Inc.",SFIX,NASDAQ,2024-12-10,Maria Ripps,"Great. Thanks so much for taking my questions, and congrats on the strong quarter. Can you maybe talk about key contributors to stronger than expected spend per client this quarter? I think you mentioned a Fixed flexibility and price architecture, but was there anything else that's sort of worth highlighting here? And then so you raised the full-year guidance, which is great to see, but maybe more broadly, how sustainable do you think these sort of dynamics are going forward?",Confident,
"G-III Apparel Group, Ltd.",GIII,NASDAQ,2024-12-10,Bob Drbul,Hi. Good morning. It's impressive to see the outlook increase in light of the environment. Can you talk a bit more just about the third quarter outperformance and maybe just walk us through the puts and the takes for the remainder of the year?,Confident,
JPMorgan Chase & Co.,JPM,NYSE,2024-12-10,Marianne Lake,"Yeah. So probably just to continue the trend of the narrative, big picture no, which is to say that there are very, very large parts of that agenda where we have a high degree of confidence and conviction and proven track record and models. And so, nothing is ever a sure thing, but we feel very confident when we're acquiring new customers in card or new customers in the consumer bank or opening new branches. We know we feel very confident that we have a clear understanding of how those things will play out. And as we continue to back test them, they continue to play out in line with or even better than our expectations. So, we're not learning anything that's forcing us to course correct sort of big, big picture. That said, of course, we spend every dollar a dollar at a time. So, we don't spend it in galactic chunks. In fact, one of the reasons why when you guys are asking so many questions about the details of it, it's hard to oversimplify it is because each individual thing that we're doing is measured in small millions of dollars. It's not measured in hundreds of millions of dollars. And so, the specifics do change. But thematically, starting at the top of the page that you'll recall with our growth businesses, we're not increasing our investments in Connected Commerce, but we are integrating and optimizing those assets now. We do continue to add advisors in Wealth Management with a reasonably clear understanding of when and how productive they will be. And we had a good hiring year in 2024. Marketing continues to be something we understand well. And we have two objective functions. One is to acquire profitable customers, and the second is to make sure that we continue to have high spend engagement with our existing customers. And we're seeing a lot of demand for our products and a lot of profitable opportunities to invest, similarly actually in the consumer bank. And then the branch strategy. And that's a very long game, but we understand what we're doing, and it is paying dividends. So, we talked about our share gains and how much of that is driven by the branches we've opened in the last five years. And we expect those to continue to be a tailwind, and we're not stopping now. And so, then the last big chunk is in product, technology, data, design. And that is a lot of different things, but we are still in a sort of generational modernization agenda and it's moving. So, data center modernization is more behind us, but we're still modernizing our core infrastructure and those things take time. And we're in a rapidly evolving kind of product environment in terms of customer expectations and our ability to deliver products and services and engage them in our ecosystem. And so, we continue to invest in products and data, but we feel pretty good about the performance of what we're doing and we'll update you as we always do.",Confident,
JPMorgan Chase & Co.,JPM,NYSE,2024-12-10,Marianne Lake,"Okay. So, a couple of things. First of all, First Republic is largely over. We're still completing the loan migration right now, but the big chunk of it was done in the middle of the year and the follow through in the third quarter. The only reason I mentioned that is it's a little early maybe in December to talk about the progress we're making beyond that in wallet share gains. Those things take a little bit of time, but we're pretty optimistic. We retained 90% of clients in the banking complex, 95% of deposits, more than 75% of advisers and clients in the Wealth Management space. And so, we feel we have a pretty stable and it's pretty stable base. Just we of course want to do an incredible job for the Heritage First Republic customers. But when we've talked about our strategy and leveraging First Republic, both leveraging our learnings, but also leveraging the opportunity to accelerate the affluent strategy, it was very much about deepening into existing Chase customers. And so just for context, we have over 6 million affluent customers that bank with us happily, and only 15% of them invest with us today. And those customers have $7 trillion of investments. And so, we have happy Chase customers that are not yet enjoying the benefits of what we have to offer in Wealth Management. And this is a strategy using the concierge service, the coverage model, the JPMorgan Financial Centers as a strategy to deepen into wealth for those customers. And remember, if you went back five years ago, we maybe didn't have all of the right capabilities and all of the right assets to be able to feel we could invite those customers to do that with us and feel confident that we would do an amazing job. We do now. Our self-directed capabilities just won JD Power Awards so that our advised capabilities, we have built new channels, we've built new capabilities with Wealth Plan. Yes, First Republic helped us in terms of assets and accelerating getting to $1 trillion. But we're pretty excited about the opportunity going forward. It's just early. So, we'll update you. We had a great year in Wealth Management. We had record first time investors this year, and we've grown AUS, including First Republic, but a 16% CAGR growth five years. So, adding advisors and just grinding it out.",Confident,
JPMorgan Chase & Co.,JPM,NYSE,2024-12-10,Marianne Lake,"Really important. So, it's actually and I know that this, but while we now talk about connected commerce in a much more cohesive way and talk about the sort of interrelationship between these things and while we've kind of put it in a curated place where we can sort of really focus on it, these are things that we have been doing for 5 years or 10 years. So, we've been in the travel business for 10 years. We've been in the office business for 5 years. We just didn't really own the assets to allow us to sort of innovate and create the right customer experience or have the ownership economics to reinvest in the value proposition. And we had that opportunity during the pandemic to acquire those assets. And so, there are three reasons why it matters to us and mattered then and continues to matter now. The first is that for our core card customers, as you articulated, commerce experiences, but particularly travel was the number one passion point, and unfortunately also a very significant pain point for our customers. And so, we wanted to be able to lean into that sort of passion, and it remains the case that for core card customers. It is the most significant driver of both acquisition and retention of affluent customers. And so, you want to be able to do a great job, but when it also is a pain point, you want to be able to improve that. Number two is that we wanted to drive value to our strategic partners through a two-sided platform and the ability for us to invest in that. And then number three was to diversify our revenue streams towards some capital light more recurring revenues. On number one, really working extremely well. We've materially improved customer satisfaction and reduced the pain in the travel outcomes. There's still work to do. We look set to do the same thing in offers. On the second point, we are driving value to our strategic partners on the platform. An example of that is that we have in our Luxury Hotels collection, we have 1,000 hotels in the Edit, which is what we call that collection. And those participating hotels are seeing share gains or share growth in same-store share as a result of being in the program. So, we are driving value for our partners. And then as a result of that, yes, we are expecting to meet our expectations on volume through the platform next year and the revenue that comes with that. So, we're pretty optimistic, but it is really important to the car business. And so, if you look then at the longer term, we said that we would hope to be at $30 billion of volume over the platform in 2025. We're on track to do that. But $30 billion is still a small percentage of the addressable population. And depending on how you measure it, between travel dining, office and shopping, there's $600 billion plus or minus that our customers spend on our cards. And so, for $30 billion of that to be going through our assets is only 5%. It's not an unreasonable expectation that we ought to be able to double that over time. And so, as we continue to invest in value for our customers and value to our partners, which then allows them to invest in the experiences too. We will continue to try and drive more and more of that volume over our platform, and that should be a tailwind for revenue growth, and it will meaningfully contribute to cards ROE at the time.",Confident,
JPMorgan Chase & Co.,JPM,NYSE,2024-12-10,Marianne Lake,"Okay. So, I'll update you. The 20% 30% in consumer bank and card accounts over four years is now 30 and 40 or very close to that over five years. So that momentum continues, which was my point earlier about we continue to lean into growing the franchise, which is the sort of catalyst for everything else that comes after that. If I start with the consumer bank, our share gain story, as you say, we're pretty proud of it, 220 basis points over the last five years. And 80 basis points of that came from branches that we've opened since 2018. And remember, they're still pretty young. And so those will continue to fuel growth in the future. But that First Republic was a piece, so that was close to 40 basis points, which means that more than half of it came from our legacy footprint as we continue to invest in bankers in banker tools in omnichannel capabilities, in branch tailoring, in customer segmentation, making sure we have the customer and the right product for them. And so, as we look forward, we're expecting the same, which is more than half of the growth is going to come from the legacy platform. And if you include the branches we've already built, 75% of our growth towards our 15% target and beyond will come from a combination of legacy and the branches we built through ‘24. But we're not stopping. And so, the remaining 25% will come from the branches we're about to open. And those will continue to grow for decades. So, we're pretty excited about that. And as I said earlier, those branches that we're opening are performing really well. So, it's really well. So, if not -- each individual next new brand we're opening isn't getting worse from a performance basis -- in fact, they're in line to better than our model. And these things are not straight lines. So, on average, we've gained 30 basis points share over the last 10 years. We think that's a reasonable trajectory going forward. But in any one year, it could be plus or minus of that. And so it's a flywheel we're just going to keep going. In Card, it's a similar but different story. Obviously, it's not the same -- we don't have new markets. It's a national business, but it does benefit when we enter new markets with branches. So, we do see growth in accounts and share when we start really investing in new markets. So, it is a beneficiary of that. In Card, we start from a higher share place, but similarly have gained share over the last four or five years, 50 basis points of sales, 30 basis points in outstanding. And that momentum, which was at the end of last year has continued into 2024. And we highlighted outstanding’s as being an area that we felt we could see some outside share gains because we felt like we were punching a little below our weight. And so, we saw that happen in '23, and we've seen that continue in '24. But it's not that we have to dial up premiums or like pay for the privilege, it's about making sure that we're investing in the segments where we are currently able to and see outsized growth starters, small business, affluent, and we had record new accounts in each of those last year. It's about making sure we're capitalizing on our owned channels, so dot-com and branches because they are the most efficient channels that we have, leveraging our data to make sure we're underwriting as deeply as we can, but profitably and with confidence. And then also making sure that in addition to sort of core card, we're innovating on installment lending and other sort of lending options like pay over time, which is gaining traction. And so, I would say we're feeling pretty good about that, and we're at 17% share and growing towards our 20% target. So, in both cases, we think that there's more share gains ahead of us, it's hard work. I mean, this is like a branch at a time, a vintage at a time, tactic at a time. There's no silver bullet. It's just it's everywhere, but we know what to do.",Confident,
Western Digital Corporation,WDC,NASDAQ,2024-12-10,Joe Moore,"Great, so maybe in the [initial] (ph) time -- shifting to Hard Disk drive, you guys are also at record gross margins there. Also very impressive gross margin performance on the drive side. Can you talk about what's driving that and is that kind of something cyclical or is that kind of the new normal level of Hard Disk drive profitability?",Confident,
"Casey's General Stores, Inc.",CASY,NASDAQ,2024-12-10,Robert Griffin,Absolutely. I appreciate the details and congrats again on a great quarter.,Confident,
KKR & Co. Inc.,KKR,NYSE,2024-12-10,Alex Blostein,"Great. All right. Let's talk a bit about other businesses you guys have established starting with maybe the capital markets business, which has been around for a while, but the ramp has been quite impressive. I think this year, you guys are on track to do about $1 billion of revenues in this business. The firm clearly benefited from a couple of sizable transactions this year. But I think it just still underscores just the magnitude of potential upside in a capital market cycle that's a little more supportive. So help us maybe frame the opportunity you see for KKR's capital markets fee pool over the next couple of years? What would you kind of tie that to? $1 billion of revenue is obviously great this year, but what is the ultimate size of this business could get there?",Confident,
"Toll Brothers, Inc.",TOL,NYSE,2024-12-10,Trevor Allinson,"Okay, thank you. That's helpful and very encouraging. And then the second question is on your lot supply. You mentioned in your release having all the lots you need to grow in 2026. As we look at your lot supply currently on a four-year supply basis, it seems like it's down a bit from where it's been in the last few years. So the question is, as you stand here today, given your outlook for 2025, demand is still healthy for your product. Do you need to accelerate the loss you have under control from here? Thanks.",Confident,
"HealthEquity, Inc.",HQY,NASDAQ,2024-12-10,Steven Valiquette,"Great. Thanks. Good afternoon, everyone. Jon, congrats on your retirement. And Scott, congrats on joining the company shortly here as CEO. Really, my questions here are just more on the just confirmation on the dollar amount of HSA cash custodial asset contracts you're pricing each fiscal year. Your previous slide deck, you had $3.4 billion for fiscal '26, now the 10-Q shows it went down a little bit, but then fiscal '27 went up a little bit. The yields are still about the same. But really my question is just to try to reconcile for -- so -- as of right now, the $3.2 billion that's set to reprice in fiscal '26, how much of that will happen sort of early in the year versus potentially later in the year, just to figure out how much is baked into the guidance you recognized in fiscal '26? And then the -- on a similar vein, when you talked earlier on the call about pulling forward some of these repricings, I'm assuming some of that might have been the fiscal '27 maturities, unless I'm wrong. But again, just to confirm, is any of that baked into the fiscal '26 guidance or would that be upside relative to your initial view that you gave today on FY '26?",Confident,
Oracle Corporation,ORCL,NYSE,2024-12-09,Brad Zelnick,"Great. Thank you. And congrats on the continued acceleration at scale. Larry, as Oracle leads with larger and larger GPU clusters, there's healthy industry debate around scaling laws with Elon Musk allegedly pushing the envelope of what's possible. I'm curious to hear your perspective as to whether there's diminishing returns on the amount of compute thrown at model training and Oracle's ongoing leadership in AI infrastructure and GPU superclusters.",Confident,
"Phreesia, Inc.",PHR,NYSE,2024-12-09,Jessica Tassan,"Congrats on the quarter and the strong guide. I was hoping you could talk a little bit just about the network solutions selling season in fiscal '25, maybe what drove some of the strength in fiscal 3Q, any specific tailwinds related to Part D? And then I'm hoping you can describe some of the feedback you've heard from your pharma customers regarding the appointment of RFK to lead HHS, how are you and your customers kind of thinking about and delineating between marketing and education, because in our view it's kind of an important distinction?",Confident,
Hello Group Inc.,MOMO,NASDAQ,2024-12-09,Raphael Chen,"[Foreign Language] I will translate myself. Thanks for taking my question. Congrats on the strong growth momentum of overseas business. Could management share the main contributors driving the overseas business growth rate in the third quarter, also we have the latest revenue and profit figures for the overseas business and growth outlook for the fourth quarter and [2025] (ph).",Confident,
"Rent the Runway, Inc.",RENT,NASDAQ,2024-12-09,Jennifer Hyman,"So our Reserve business certainly provides an easy way to enter Rent the Runway for Reserve pricing as low as kind of 10% of the retail price starting at just $30 to rent a dress, you can come and have a great experience renting for a holiday party or wedding, et cetera. And so we've always seen a diverse customer base across age, across geography, across income level into the Reserve business. And prior to 2024, we had seen that, that business had been declining year-over-year, which was not great in terms of driving new customer growth into Rent the Runway because traditionally, Reserve has been a driver of new customer growth. And so we really put an emphasis on Reserve this year to reaccelerate it. We've made some very quick and significant progress given that our Reserve business is up over 20% in Q3 and new customers into that business are up 35% year-over-year in Q3. So we're showing that we can drive more people into the ecosystem of Rent the Runway. And then we've set up really great life cycle marketing communications. Once you have a great experience in Rent the Runway, obviously, to familiarize that customer with the suite of products that we have from Resale to Subscription. And even the launch of this one swap $119 a month Subscription plan this month gives us yet another kind of entree to sell our Reserve customer into a more lightweight Subscription program where you get that one shipment a month, but have access to the full assortment of our inventory. So one of the really positive things that we're seeing about Subscription is five, six years ago, a Subscription to fashion was fundamentally about early adopters, people that were comfortable with what was then a radical new way to get dressed. Now even a Subscription to fashion has become more mainstream. And how do we know that? We know that because of the diversification of the customers coming into Subscription as the first product that they engage with, with Rent the Runway. And we're seeing very high kind of engagement amongst a much more diverse age demographic into Subscription, more diverse geographies where she's coming from and certainly diverse use cases. So we see a lot of really nice momentum in our Subscription business and feel very confident that with this very simplified focus within the company right now and cross functional alignment around key goals that 2025 is going to be the year where we really accelerate our subscriber acquisition and growth.",Confident,
Victoria's Secret & Co.,VSCO,NYSE,2024-12-06,Ike Boruchow,"Hi, good morning everyone. Let me add my congrats. Two questions. First for Hillary, you talked about a lot of change over the last four months in apparel, which I assume predominantly talks to PINK. Can you just give us a little bit more insight on what changes in KPIs you've seen that's given you renewed confidence. And then on TJ, real quick, just I'm trying to understand the Adore Me payments that are being made this year, I think it's like $200 million – I was trying to make sure I understood. Is that because of the business is outperforming? How should we think about that impacting cash flow? And then is there more payments in future years if the business continues to outperform.",Confident,
"Build-A-Bear Workshop, Inc.",BBW,NYSE,2024-12-06,Greg Gibas,"Great. That's helpful, Voin. And I wanted to get just a little bit more color on the increased expectations for store count growth. You talked about net new store count 65 versus the 50-plus before. And I just wanted to get a sense of what's driving that? Maybe where is that upside relative to your previous expectations or plans coming from? Is it simply you're finding more attractive locations? Is it a function of kind of accelerating the timeline? Or any color you can provide there? And just, I guess, regarding that mix, how much is domestic versus international roughly?",Confident,
Samsara Inc.,IOT,NYSE,2024-12-05,Alex Zukin,"Hey guys, thanks for taking the question. Congrats on another solid quarter. I just maybe wanted to ask about the general sales cycles, demand environment. Have you seen any shift? You clearly had a really, really strong Beyond conference in a number of international events. Just momentum linearity in the quarter, any kind of feeling like there was a hesitation because of the election and then that opened up? And then I got a quick follow-up.",Confident,
"Rubrik, Inc.",RBRK,NYSE,2024-12-05,Andrew Nowinski,"Hey, good afternoon. Congrats on another great quarter and particularly, the improvement in contribution margin, I think, really stood out. I just wanted to ask a question. So coming back from the Wells Fargo TMT conference this week. I mean, it was really clear that data protection, DSPM and of course, cyber resilience, I think, were top of mind for many organizations. That really stood out to us as like the one key takeaway based on the strong growth you're seeing in your cloud ARR. I mean, it looks like you're seeing this, too. And I'm wondering if there's inflection in demand for DSPM and cyber recovery is related to an inflection, maybe in Gen AI rollouts? Or is it something else? Just wondering if you could pinpoint what's driving this inflection. Thank you.",Confident,
"Rubrik, Inc.",RBRK,NYSE,2024-12-05,Brad Zelnick,"Great. Thanks so much. And congrats on the strong execution. The entire team has so much to be proud of. Bipul, I wanted to start by asking you about Annapurna, the goddess of nourishment. Can you talk about the vision and evolution leading up to this week's announcement? What we should expect in terms of availability across other cloud platforms? And is this something you expect to price and monetize implicitly or explicitly.",Confident,
UiPath Inc.,PATH,NYSE,2024-12-05,Sanjit Singh,"Yes. And to that point on that better execution, it's two quarters in a row now where you've set guide and exceeded those targets and not so much about like necessarily guidance, but with the improved execution, if you got, let's say, a better spending environment or to the extent that the commercial market starts to come back online, how much of that -- how much do you think that would be a tailwind to your ARR growth overall?",Confident,
UiPath Inc.,PATH,NYSE,2024-12-05,Chirag Ved,"Got it. And one more on the financials front. You delivered a strong margin beat this past quarter. You called out the restructuring, but what drove the beat? And do you believe these same factors could help drive upside in Q4 given that Q4 has historically been your strongest margin quarter?",Confident,
Veeva Systems Inc.,VEEV,NYSE,2024-12-05,Brian Peterson,"Hi, gentlemen, thanks for taking the question, and congrats on the strong quarter. Peter, I just really wanted to hit on the regulatory backdrop. I know there's a lot of potential changes coming in the Trump administration, at least that are being discussed. I'd love to understand what your customer feedback has been there and how you think about the potential implications to Veeva under a new administration.",Confident,
Veeva Systems Inc.,VEEV,NYSE,2024-12-05,Brian Peterson,"Got it. And maybe a follow-up for Brian. The margin upside this quarter was really impressive. Just anything that you would call out in terms of timing of expenses in the third quarter? I would appreciate any perspective there. Thanks, guys.",Confident,
Veeva Systems Inc.,VEEV,NYSE,2024-12-05,Brent Bracelin,"Helpful color. And then maybe Brian, for you, 43.5% operating margin, this is kind of the highest we've seen out of Veeva on record, the biggest beat versus your guide in three years. A bit of a hot start for you for the first quarter out of the gate. But how should we think about the cost discipline you put in place in the quarter and leverage? And it just -- your guide obviously implies you're going to have some additional expenses here in Q4, but walk us through the philosophy on cost discipline and leverage you showed this quarter and what it means here as we think about next year.",Confident,
Veeva Systems Inc.,VEEV,NYSE,2024-12-05,Jailendra Singh,"And my follow-up is on the decent acceleration in net headcount increase in the quarter. Anything to read into that? I mean, clearly, you're seeing some good momentum here. Any particular areas you guys are focused on with respect to headcount additions? Or is it more across-the-board?",Confident,
"Argan, Inc.",AGX,NYSE,2024-12-05,Rob Brown,Good afternoon and congratulations on a strong quarter.,Confident,
lululemon athletica inc.,LULU,NASDAQ,2024-12-05,Alex Straton,"Perfect. Congrats on a great quarter. Thanks for taking the question. I just wanted to focus on U.S. sales. It looks like they stabilized on a quarter-over-quarter basis. So, I'm just curious, do you view this kind of as a bottom for that geography and should it improve from here? And maybe thoughts on the longer-term growth rate of that business? Thanks a lot.",Confident,
lululemon athletica inc.,LULU,NASDAQ,2024-12-05,Michael Binetti,"Hey, guys. Thanks for taking our question. Congrats on a nice quarter. Just a quick one on the model. It looks like one of the key drivers of the gross margin in third quarter was lower inventory provisions. Would you just remind us how influential that could be in the fourth quarter? And then maybe just a little -- stepping back a little bit on the gross margin, unpacking a little bit more, maybe what's under the surface on the product margin? I think you said one of the big pieces there, Meghan, was upside to the guidance was good control of fixed costs on the product side. Is that -- I'm curious how sustainable that is with the high fixed cost base in North America and the negative comps in that market. Is that something that's as controllable in the fourth quarter, or is there something unique to third quarter that let that be a bigger lever for you while the comps remain negative in your biggest market?",Confident,
"DocuSign, Inc.",DOCU,NASDAQ,2024-12-05,Jake Roberge,"Hey, thanks for taking the questions and great to see both revenue and billings start to reaccelerate. Can you help us understand how much of that reacceleration is being driven by the stabilization in your core versus the momentum that you're starting to see with IAM? And then I understand the tough billings comp during the fourth quarter, but how sustainable do you think that type of performance is?",Confident,
"DocuSign, Inc.",DOCU,NASDAQ,2024-12-05,Arsenije Matovic,"Got it. And I guess can you explain what's driving that early renewal tailwinds that we're seeing, that's contributing a bit more to that billings outperformance than we've seen historically. And on fiscal 4Q, I think last year, you called out early renewals contributing about $30 million tailwind and guidance for this quarter coming up, embedding a little bit of early renewals. I guess is there anything you can give us in terms of what's embedded in that guide, how to think about it into 4Q on that billings dynamic? Thanks.",Confident,
Hewlett Packard Enterprise Company,HPE,NYSE,2024-12-05,Wamsi Mohan,"Hi, yes. Thank you so much. Congrats on the strong quarter and guide, especially given the dilution from the preferred stock. As we look at your AI business, the -- can you maybe give us some sense of how your AI pipeline is shaping up, given that the backlog levels kind of dipped in the quarter? And I know you made some comments about how it's backed up intra-quarter. But can you give us some sense of how the pipeline looks and what the composition of that could be? Thank you.",Confident,
GitLab Inc.,GTLB,NASDAQ,2024-12-05,Sanjit Singh,"And congrats, Bill and congratulations Sid on an astounding career looking forward to what you do next. I guess I wanted to talk a little bit about the category and how said -- you mentioned the move to workflows and the genetic architecture as sort of the next phase of this -- of AI in this category. And I wanted to say like how you anticipate that playing out? Is that sort of going to be in conjunction in parallel with copilots does it sort of subsume code assistance and copilots? And what do you think is going to be GitLabs sort of strategic advantage when it comes to agents and the genetic architectures?",Confident,
GitLab Inc.,GTLB,NASDAQ,2024-12-05,Joel Fishbein,"Sid, wishing you the best as well. And Bill, congrats on the new role. I said, I'm going to ask something that was sort of on tape with Sanjit asked earlier, which was – two things are happening, one is that people are the skeptics out there, say that the market's saturated. Obviously, your acceleration of revenue growth says that that's not true. Number one. Number two is, as part of that, how much -- what inning do you think that we're in, in terms of this vendor consolidation and these disparate tools? And how much room do we have to go from that standpoint.",Confident,
"Lakeland Industries, Inc.",LAKE,NASDAQ,2024-12-05,Gerry Sweeney,"So first question, it's probably going to a little bit longer winded in-depth, but I think you'll understand where we're going with this. So we had the U.S. rebounding, Jolly and Eagle are starting to get the legs underneath them. But then we also have your guidance, $165 million of revenue and $18,000,000 of EBITDA. Obviously, I think there's confidence going into the fourth quarter everything's going in the right direction. But it appears that either your revenue guidance of $165 million will have to be far exceeded or margins will have to jump up significantly in the fourth quarter to get that $18 million of EBITDA. And I know there's a step up in basis of inventory, etcetera. So could you give us a little bit more maybe granularity as to how we achieve this guidance with all these operations and everything accelerating into year?",Confident,
"Caleres, Inc.",CAL,NYSE,2024-12-05,Dana Telsey,"As you think about the brand portfolio, what were the biggest brands where there was a rate of change, what decelerated, did anything accelerate in brand portfolio? And then if you think of the Famous Footwear business, what are you seeing there in terms of the health of that consumer? And it sounds like the FLAIR stores still outperform the base. Is it still 43 you're looking for this year? And just lastly, with the promotions in this current fourth quarter, how do you expect them to be different? You mentioned BOGO before. What's adjusting in the promotions in Famous Footwear or in brand portfolio as you go forward?",Confident,
KNOT Offshore Partners LP Common Units,KNOP,NYSE,2024-12-05,Fredrik Dybwad,"Hey Derek, congratulations doing a great job with the backdrop of the company. Just then Dan Sabia left, he did the option extension with [Indiscernible]. And then you have an upcoming firm period on Raquel, which expires at closer to the summer. Could you give more color on timing and of course, timing-wise, when you expect an option extension to be caught?",Confident,
"Lands' End, Inc.",LE,NASDAQ,2024-12-05,Alex Fuhrman,"Hey guys, thanks for taking my question, and congratulations on a strong quarter during what seems like has been a pretty promotional holiday season for a lot of retailers here. I wanted to ask just about the guidance, if we could just drill into the revenue versus GMV. It looks like a little bit lower GMV guidance despite revenue guidance being within the prior range, albeit a little bit lower at the midpoint. Is there a simple explanation there, or is it just a matter of a small move lower, and that's just all there is to it?",Confident,
"SentinelOne, Inc.",S,NYSE,2024-12-04,Brad Zelnick,"Great. Thanks very much and good to see the ARR momentum continue to build. Tomer over the last few months, you've been very clear that the benefits you're seeing from market disruption and many of the newer growth levers, and execution improvements, wouldn't all show up immediately in your financials. And the trend is clearly positive from what we can see in Q3 results. But what is it that you see in terms of pipeline and the visibility that you have ahead that gives you confidence in acceleration? And then for Barbara, how does that inform how you might be thinking about next year at this point? Thank you.",Confident,
"SentinelOne, Inc.",S,NYSE,2024-12-04,Matt Dezort,"All right, thanks for taking the question, and congrats on the results. Tomer, for you, I think you talked about more enterprise displacements than ever in the past this quarter. Can you talk about whether pipeline supports continued momentum there, maybe how pricing and discounting are behaving specifically in those conversations? And then on the flip side of that, how are you seeing your ability to win change, if at all, since July 19 in the 50% of the market that is still leveraging legacy AV? Thanks.",Confident,
"Ooma, Inc.",OOMA,NYSE,2024-12-04,Mike Latimore,"Great, thanks. Yes, congrats on the strong cash flow and new wins here. Just want to clarify, on AirDial in the second quarter, you said AirDial had a record bookings. Is it fair to say in third quarter you had higher bookings in the second quarter?",Confident,
"Ooma, Inc.",OOMA,NYSE,2024-12-04,Unidentified Analyst,"Hi, this is Chris on for Arjun and thanks for taking my question. I want to echo about some of the earlier congrats on a solid quarter. So it's good to see you're having some record cash flow coming in. And now with the debt completely paid off and behind you, are there any changes in terms of how we should think about capital allocation going forward?",Confident,
CSX Corporation,CSX,NASDAQ,2024-12-04,Tom Wadewitz,"Yes. Okay. Great. Let's see. So how are you thinking about pricing for next year? Are you optimistic? I mean, I know there's some sensitivity on truckload. There's your own good momentum on service and translating that to price. But how should we think about pricing and also whether there are kind of -- whether we should be optimistic about pricing accelerating or kind of stability is a good thing?",Confident,
"Daktronics, Inc.",DAKT,NASDAQ,2024-12-04,Anja Soderstrom,"Hi, and thank you for taking my question and congrats on the great quarter here. So given that the second quarter was a lot better than we had expected and you're given your prior commentary about you expecting to be in line with consensus on the full year. Do you expect a more steeper decline in revenue for the second half than we had before or how should we think about that seasonality?",Confident,
"Okta, Inc.",OKTA,NASDAQ,2024-12-03,Gabriela Borges,"Hi, good afternoon. Thanks for taking the question and congrats on a solid quarter. Todd and Brett, I wanted to pick up where they just left off on the 15% of bookings that are coming from emerging products. Remind us how that number compares to history. And Brett, you mentioned with the net retention rates, there are two dynamics impacting that. You've got the pressure on MAUs and [C count] (ph) and then you've got the tailwind from cross sell. Talk to us a little bit about when you think emerging can offset the headwind in MAUs and C count and it's a long way of asking when you think net retention might trough? Thanks.",Confident,
"Okta, Inc.",OKTA,NASDAQ,2024-12-03,Jonathan Ho,Congrats on the strong quarter. Just wondering if you could give us some additional on the go-to-market specialization opportunity that you've referenced? And maybe help us understand why you see the need to do this now? Or what's maybe the impetus driving that?,Confident,
"Okta, Inc.",OKTA,NASDAQ,2024-12-03,Madeline Brooks,"Good afternoon. So I think overall, we can all agree that this is a really strong quarter for you guys. So I think then when I take a step back and look at the market, I really want to kind of hone in on the 7% guide for next year. And if I just kind of extrapolate what new bookings was for this quarter, we can kind of get to an assumption that maybe the core workforce and SIEM markets are growing roughly 5%. And so I first want to clarify that 7%, does that include any upside from new bookings or new bookings from or from new products? Or are new products already baked into that guide? And then just one follow-up question after that.",Confident,
"Marvell Technology, Inc.",MRVL,NASDAQ,2024-12-03,Harlan Sur,"Hey, good afternoon, and congratulations on the strong results and outlook. Matt, great to see the strong ramp and execution on your 5-nanometer AI training custom solution at your large cloud customer. This customer has been articulating for several months now, right, the strong deployment strategy for these ASICs. That same customer today announced its next-generation custom solution at 3-nanometers, which would be ramping, according to them, end of next year, so calendar '25. Imagine, like many others, they're pulling in their AI program. So, given what appears to be strong execution of your 5-nanometer program and the total ramp by Marvell team, the multi-year agreement with this customer that was announced a few days ago, your characterization of sort of multi-generational roadmap with them, is it fair to assume that you will be the ASIC vendor supporting your customer on this next-gen 3-nanometer training ASIC targeted to ramp late next year? The only reason why I ask is because there just continues to be a lot of competitive noise out there around this 3-nanometer program.",Confident,
"Marvell Technology, Inc.",MRVL,NASDAQ,2024-12-03,Tom O'Malley,"Hey, Matt. Thanks for taking the question. Congrats on the great results. I wanted to ask on some of the parts of the Amazon announcement. So, AEC was mentioned, PCIe retimers, switching products. So, you're hearing just a lot from other smaller companies that are seeing some big robust revenue ramps. Could you just do your best to maybe size how significant those are for you today? And then, when you look out kind of over the next 12 months, what area of those non-optical DSP businesses are going to be the most significant for you? Just generally, where are you going to see the most growth outside of like that core optical DSP business? Thanks, Matt.",Confident,
